epoch,train_loss,train_acc1,val_loss,val_acc1
1,3.9438465138244627,11.516,3.6827176136016844,16.76
2,3.5271559999847413,20.23,3.3862961822509767,24.41
3,3.2766793226623534,25.816,3.2277890159606932,27.41
4,3.099866175994873,30.314,3.0489376289367676,32.34
5,2.9557842169189454,33.936,2.940034644317627,34.94
6,2.841860014038086,36.872,2.8754224082946775,36.65
7,2.744984276275635,39.716,2.794824627685547,39.39
8,2.6556353569793703,41.916,2.7963499568939207,39.07
9,2.5727294715881346,44.182,2.668250877380371,42.83
10,2.5009655408477784,46.27,2.647529920196533,43.69
11,2.4348551448059084,48.25,2.615645728302002,44.96
12,2.378231611557007,50.016,2.5302484153747558,47.04
13,2.3175770292663573,51.824,2.5234361473083498,47.23
14,2.2654460137939454,53.384,2.4993308528900147,47.74
15,2.215264515914917,54.852,2.5249424385070802,47.14
16,2.1633349378967286,56.502,2.5149561477661133,47.93
17,2.114578289642334,58.196,2.4423700119018554,49.71
18,2.0755734460449218,59.254,2.4217418685913086,50.54
19,2.0306065421295165,60.772,2.4041218521118166,51.54
20,1.9923883489990235,62.0,2.3913253536224364,51.58
21,1.9512706253814698,63.586,2.3810678977966306,52.36
22,1.9125349082946776,64.708,2.3689973655700682,52.16
23,1.8782200092315673,65.944,2.367558125305176,52.76
24,1.8441425705718995,67.376,2.349813338470459,53.22
25,1.8119619497299195,68.628,2.353716262817383,53.77
26,1.782123210296631,69.484,2.337411623382568,53.6
27,1.756930410308838,70.624,2.332517667388916,54.0
28,1.729338023109436,71.522,2.339053942871094,54.13
29,1.70353193069458,72.562,2.3312315467834472,54.44
30,1.6858013790893556,73.19,2.321134127807617,54.84
31,1.6614787574005128,74.268,2.3188129001617432,55.0
32,1.6451173483276367,75.104,2.3130400062561036,55.31
33,1.63257103515625,75.44,2.3140349380493164,55.23
34,1.6157156162261963,76.266,2.3076626510620115,55.35
35,1.6056771454620362,76.506,2.305516662597656,55.62
36,1.5930821161270141,77.022,2.3041381984710694,55.78
37,1.5895899533081055,77.37,2.3029711952209473,55.63
38,1.5827932736968995,77.428,2.3015983169555665,55.69
39,1.5783601539993286,77.726,2.303147861480713,55.62
40,1.5747745697402955,77.902,2.302102003860474,55.72
