epoch,train_loss,train_acc1,val_loss,val_acc1
1,3.9212648597717283,11.944,3.639684521102905,17.6
2,3.490304065551758,21.052,3.330946047973633,24.9
3,3.239718015060425,26.922,3.2524438247680663,27.03
4,3.057419169921875,31.444,3.0013220054626464,33.16
5,2.9083694076538085,35.208,2.92640233001709,35.63
6,2.787557853012085,38.492,2.846898578643799,38.29
7,2.685810926361084,40.866,2.738839128112793,40.95
8,2.5940493389892576,43.542,2.718832469558716,41.81
9,2.5151351972961424,45.872,2.6238382164001464,43.95
10,2.437599786682129,47.85,2.6312287551879883,44.46
11,2.3714046239471434,49.948,2.565799982070923,45.81
12,2.3029488972473144,51.944,2.545051597595215,46.62
13,2.2371499576568605,54.24,2.4810748878479005,48.64
14,2.1846306781005858,55.51,2.473239715576172,48.24
15,2.1282057147979736,57.314,2.476303882598877,48.89
16,2.071757463302612,59.412,2.4434866878509522,50.02
17,2.0206719918823244,61.12,2.4183370559692383,50.5
18,1.9666632424926758,62.89,2.3966696342468263,51.87
19,1.919703732070923,64.422,2.390083098602295,51.56
20,1.8734219417190552,66.06,2.3967887023925782,52.32
21,1.8289753385543823,67.584,2.3577566131591796,53.05
22,1.7867806456756592,69.2,2.3649599388122557,53.22
23,1.7462237867736816,70.816,2.3460856243133543,53.81
24,1.7060558638763428,72.292,2.3335397594451903,54.75
25,1.6707815511322022,73.638,2.3168709613800047,55.31
26,1.6378117977142335,75.088,2.307256563568115,55.47
27,1.6029045621490479,76.38,2.2938668281555175,55.97
28,1.5725550757598876,77.62,2.3149638664245606,55.72
29,1.5467649170684814,78.642,2.2853070457458498,56.45
30,1.5202440155029298,79.978,2.295299987411499,56.54
31,1.4973037938690186,80.85,2.2868445266723634,56.5
32,1.4768030994033814,81.838,2.2875211727142335,56.34
33,1.460997791595459,82.458,2.2816362648010253,56.79
34,1.4425914141464233,83.158,2.2801622734069826,56.82
35,1.4336026779174804,83.554,2.273869652938843,57.43
36,1.4266306677627563,83.962,2.2735107635498046,57.36
37,1.412499553527832,84.46,2.2760203269958494,57.16
38,1.410758324508667,84.546,2.2722680980682375,57.06
39,1.4065304816055297,84.762,2.273665570449829,57.32
40,1.4043915763473511,84.922,2.2741412338256835,57.31
